TIME,DTIME,IN,DIN,OUT,DOUT
1440704029,1,3298269196927,6612723,1187892399033,89415
1440704030,1,3298269200201,3274,1187892480290,81257
1440704031,1,3298269201059,858,1187892483206,2916
1440704032,1,3298286340106,17139047,1187892698657,215451
1440704033,1,3298290149620,3809514,1187892745241,46584
1440704034,1,3298290153495,3875,1187892748984,3743
1440704035,1,3298290154619,1124,1187892755680,6696
1440704036,1,3298310660256,20505637,1187893000813,245133
1440704037,1,3298310661732,1476,1187893003491,2678
1440704038,1,3298310663599,1867,1187893015926,12435
1440704039,1,3298310805864,142265,1187893022014,6088
1440704040,1,3298330998977,20193113,1187893260409,238395
1440704041,1,3298331001041,2064,1187893273263,12854
1440704042,1,3298331003702,2661,1187893278121,4858
1440704043,1,3298331402959,399257,1187893288764,10643
1440704044,1,3298352000541,20597582,1187893542556,253792
1440704045,1,3298352028004,27463,1187896055177,2512621
1440704046,1,3298352029467,1463,1187896058415,3238
1440704047,1,3298352646344,616877,1187896080628,22213
1440704048,1,3298372624605,19978261,1187896318730,238102
1440704049,1,3298372629005,4400,1187896323347,4617
1440704050,1,3298372631766,2761,1187896336461,13114
1440704051,1,3298373739096,1107330,1187896355110,18649
1440704052,1,3298400220272,26481176,1187896647461,292351
1440704053,1,3298400224195,3923,1187896653950,6489
1440704054,1,3298400228573,4378,1187896658460,4510
1440704055,1,3298403597504,3368931,1187896704571,46111
1440704056,1,3298419982250,16384746,1187896910412,205841
1440704057,1,3298419986796,4546,1187896914893,4481
1440704058,1,3298419989746,2950,1187896919615,4722
1440704059,1,3298440514949,20525203,1187897177718,258103
1440704060,1,3298440518337,3388,1187897260600,82882
1440704061,1,3298440518917,580,1187897264568,3968
1440704062,1,3298440522471,3554,1187897280627,16059
1440704064,2,3298460649544,20127073,1187897522650,242023
1440704065,1,3298460650905,1361,1187897527849,5199
1440704066,1,3298460651638,733,1187897541635,13786
1440704067,1,3298463007656,2356018,1187897576098,34463
1440704068,1,3298480661372,17653716,1187897786608,210510
1440704069,1,3298480662715,1343,1187897800624,14016
1440704070,1,3298480666441,3726,1187897813159,12535
1440704071,1,3298492504222,11837781,1187897959585,146426
1440704072,1,3298501832203,9327981,1187898083659,124074
1440704073,1,3298501835741,3538,1187898088839,5180
1440704074,1,3298501837338,1597,1187898089374,535
1440704075,1,3298519785893,17948555,1187901070595,2981221
1440704076,1,3298521903815,2117922,1187901096361,25766
1440704077,1,3298521907447,3632,1187901098071,1710
1440704078,1,3298521909168,1721,1187901101544,3473
1440704079,1,3298543128382,21219214,1187901340017,238473
1440704080,1,3298543129104,722,1187901340713,696
1440704081,1,3298543130136,1032,1187901351397,10684
1440704082,1,3298543130922,786,1187901352327,930
1440704083,1,3298564215807,21084885,1187901637572,285245
1440704084,1,3298564233173,17366,1187901762170,124598
1440704085,1,3298564267069,33896,1187902317622,555452
1440704086,1,3298564290560,23491,1187902353877,36255
1440704087,1,3298584861575,20571015,1187902605773,251896
1440704088,1,3298584862727,1152,1187902609157,3384
1440704089,1,3298584864955,2228,1187902611331,2174
1440704090,1,3298584871137,6182,1187902701248,89917
1440704091,1,3298605418829,20547692,1187902945065,243817
1440704092,1,3298605422015,3186,1187902946467,1402
1440704093,1,3298605424978,2963,1187902957844,11377
1440704094,1,3298605498101,73123,1187902962652,4808
1440704095,1,3298625721146,20223045,1187903202026,239374
1440704096,1,3298625723042,1896,1187903213170,11144
1440704097,1,3298625726400,3358,1187903215162,1992
1440704098,1,3298625954094,227694,1187903228262,13100
1440704099,1,3298646557582,20603488,1187903524172,295910
1440704100,1,3298646581557,23975,1187903592489,68317
1440704101,1,3298646584996,3439,1187903595166,2677
1440704102,1,3298647159223,574227,1187903617942,22776
1440704103,1,3298667375239,20216016,1187903857494,239552
1440704104,1,3298667409776,34537,1187906722271,2864777
1440704105,1,3298667439450,29674,1187906809494,87223
1440704106,1,3298668979687,1540237,1187906835950,26456
1440704107,1,3298688266697,19287010,1187907064266,228316
1440704108,1,3298688270095,3398,1187907076134,11868
1440704109,1,3298688271236,1141,1187907079181,3047
1440704110,1,3298691368780,3097544,1187907140265,61084
1440704111,1,3298709641924,18273144,1187907426867,286602
1440704112,1,3298709643676,1752,1187907429415,2548
1440704113,1,3298709646107,2431,1187907432283,2868
1440704115,2,3298730347145,20701038,1187907674566,242283
1440704116,1,3298730353765,6620,1187907697351,22785
1440704117,1,3298730382173,28408,1187907769163,71812
1440704118,1,3298730389879,7706,1187907780775,11612
1440704119,1,3298751060524,20670645,1187908030038,249263
1440704120,1,3298751065183,4659,1187908122121,92083
1440704121,1,3298751068497,3314,1187908125937,3816
1440704122,1,3298751075417,6920,1187908148691,22754
1440704123,1,3298771691204,20615787,1187908432820,284129
1440704124,1,3298771696903,5699,1187908522093,89273
1440704125,1,3298771698310,1407,1187908530098,8005
1440704126,1,3298771823820,125510,1187908536932,6834
1440704127,1,3298793150097,21326277,1187908799808,262876
1440704128,1,3298793156626,6529,1187908831628,31820
1440704129,1,3298793185675,29049,1187908900911,69283
1440704130,1,3298794676054,1490379,1187908938368,37457
1440704131,1,3298815023027,20346973,1187909180428,242060
1440704132,1,3298815027482,4455,1187909187094,6666
1440704133,1,3298815036611,9129,1187909211165,24071
1440704134,1,3298816673115,1636504,1187909373265,162100
1440704135,1,3298835725198,19052083,1187912134312,2761047
1440704136,1,3298835728173,2975,1187912138849,4537
1440704137,1,3298835732158,3985,1187912144886,6037
1440704138,1,3298838808427,3076269,1187912199607,54721
1440704139,1,3298856798001,17989574,1187912434536,234929
1440704140,1,3298856830884,32883,1187912501653,67117
1440704141,1,3298856831858,974,1187912515641,13988
1440704142,1,3298858874000,2042142,1187912544937,29296
1440704143,1,3298877673171,18799171,1187912768404,223467
1440704144,1,3298877687922,14751,1187912879736,111332
1440704145,1,3298877707873,19951,1187912923431,43695
1440704146,1,3298892052521,14344648,1187913124977,201546
1440704147,1,3298898318431,6265910,1187913155083,30106
1440704148,1,3298898321990,3559,1187913159610,4527
1440704149,1,3298898326476,4486,1187913244148,84538
1440704150,1,3298917865474,19538998,1187913509723,265575
1440704151,1,3298918513846,648372,1187913587371,77648
1440704152,1,3298918515874,2028,1187913588163,792
1440704153,1,3298918517524,1650,1187913598155,9992
1440704154,1,3298940389632,21872108,1187913856651,258496
1440704155,1,3298940398556,8924,1187913877591,20940
1440704156,1,3298940410590,12034,1187913909695,32104
1440704157,1,3298940433369,22779,1187913958976,49281
1440704158,1,3298962116283,21682914,1187914220306,261330
1440704159,1,3298962117375,1092,1187914230504,10198
1440704160,1,3298962120653,3278,1187914232512,2008
1440704161,1,3298962128323,7670,1187914253372,20860
1440704162,1,3298983549844,21421521,1187914856432,603060
1440704163,1,3298983554357,4513,1187914864653,8221
1440704164,1,3298983592433,38076,1187918351685,3487032
1440704165,1,3298983599644,7211,1187918439806,88121
1440704166,1,3299004043434,20443790,1187918681701,241895
1440704167,1,3299004045801,2367,1187918700415,18714
1440704168,1,3299004080099,34298,1187918795289,94874
1440704169,1,3299004081670,1571,1187918797404,2115
1440704170,1,3299025805933,21724263,1187919053749,256345
